id,title,vote_average,vote_count,release_date,revenue,budget,popularity,genres,cast,director,profit,release_year,ROI,adjusted_revenue,adjusted_budget,release_month
338953,Fantastic Beasts: The Secrets of Dumbledore,6.647,4627.0,2022-04-06,407200000.0,200000000.0,4.001,"Fantasy, Adventure","Rahda Sthanakiya, Dónal Finn, Jessica Cartledge, Poppy Corby-Tuech, Jacqueline Boatswain, Manuel Klein, Richard Coyle, Jan Pohl, Isabelle Coverdale, Lucas Englander, Valerie Pachner, Peter Simonischek, Dave Wong, Kazeem Tosin Amore, Mads Mikkelsen, Victoria Yeates, Cara Mahoney, Maria Fernanda Cândido, Stefan Race, William Nadylam, Noor Dillan-Night, Eddie Redmayne, Fiona Glascott, Ezra Miller, Oliver Masucci, Alison Sudol, Aleksandr Kuznetsov, Hebe Beardsall, Jude Law, Callum Turner, Maja Bloom, Jessica Williams, Ramona Kunze-Libnow, Wilf Scolding, Dan Fogler, David Bertrand, Katherine Waterston, Paul Low-Hang, Matthias Brenner",David Yates,207200000.0,2022,103.6,445179364.5370687,218653911.8551418,4
340102,The New Mutants,6.1,3466.0,2020-04-02,49169594.0,67000000.0,4.062,"Science Fiction, Horror, Action","Alice Braga, Adam Beach, Anya Taylor-Joy, Marilyn Manson, Blu Hunt, Dustin Ceithamer, Maisie Williams, Happy Anderson, Thomas Kee, Colbi Gannett, Jeffrey Corazzini, Charlie Heaton, Jacinto Vega SpiritWolf, Henry Zaga, Mickey Gilmore",Josh Boone,-17830406.0,2020,-26.613,60797025.03863987,82843894.89953633,4
361743,Top Gun: Maverick,8.2,9601.0,2022-05-21,1488732821.0,170000000.0,104.978,"Action, Drama","Chelsea Harris, Peter Mark Kendall, Kara Wang, Charles Parnell, Chaz Ingram, Landon Gordon, Glen Powell, Jack Schumacher, Rachael Markarian, Tom Cruise, Tristan Henry, Ian Gary, Ed Harris, Lyliana Wray, Monica Barbaro, Shannon Kane, Jean Louisa Kelly, Darnell Kirkwood, Margaret Strabala, Jennifer Connelly, Ryan Heilmann, Brian Ferguson, Norman Ralph Eliasen, Greg Tarzan Davis, Austin Bowerman, James Handy, Bashir Salahuddin, Jake Picking, Lewis Pullman, Raymond Lee, Whylip Lee, Val Kilmer, Chido Nwokocha, Rachel Winfree, Shantel Limbo, Alec Williams, Jason Robert Boles, Tommy Kijas, Bob Stephenson, Danny Ramirez, Miles Teller, Stephanie Andrea Barron, Manny Jacinto, Jon Hamm, Jay Ellis",Joseph Kosinski,1318732821.0,2022,775.725,1627586275.093953,185855825.0768705,5
366672,Paws of Fury: The Legend of Hank,6.7,301.0,2022-07-14,42500000.0,45000000.0,3.552,"Animation, Adventure, Comedy, Family","Floyd Van Buskirk, Jason Griffith, Edie Mirman, Terence Mathews, William Calvert, Kylie Kuioka, Seth Clark, Miles Clark, Kirk Baily, Ricky Gervais, Jaquita Ta'le, Mel Brooks, Michael Cera, Samuel L. Jackson, David Chen, Rob Minkoff, Matt Corboy, Jeff Fischer, Ranjani Brow, Juan Pacheco, Michelle Ruff, Matthew Wolf, Steve Blum, Ashley Lambert, Kelly Stables, Djimon Hounsou, Larry Herron, Zoe Minkoff, Rif Hutton, Michelle Yeoh, George Takei, Stephen Apostolina, Lex Lang, Gabriel Iglesias, Kirk Wise, Arianna Trames, Bridget Hoffman, Cathy Shim, Aasif Mandvi, Warren Sroka, Tom McGrath, David Michie, Scott Menville","Rob Minkoff, Mark Koetsier, Chris Bailey",-2500000.0,2022,-5.556,46463956.269217625,49197130.1674069,7
370172,No Time to Die,7.368,6421.0,2021-09-29,774153024.0,250000000.0,6.403,"Action, Thriller, Adventure","Tuncay Gunes, Jeffrey Wright, Rory Kinnear, Joe Grossi, Lourdes Faberes, Ralph Fiennes, Chi Chan, Dali Benssalah, Andrei Nova, Adnan Rashed, Leighton Laing, Toby Sauerback, Billy Magnussen, Daniel Craig, Ana de Armas, Zoltan Rencsar, Rae Lim, Ben Whishaw, Kimo Armstrong, Davina Moon, Gordon Alexander, Rod Hunt, Javone Prince, Steve Barnett, Hugh Dennis, Nicola Olivieri, Winston Ellis, Michael Mercer, Giansalvatore Duca, Ross Donnelly, David Olawale Ayinde, Philip Philmar, Mattia Lacovone, Gediminas Adomaitis, Denis Khoroshko, Raymond Waring, Naomie Harris, Priyanga Burford, Andy Cheung, Ahmed Bakare, Douglas Bunn, Pio Amato, Julian Ferro, Brigitte Millar, Michael Herne, Clem So, Coline Defaud, Ernest Gromov, John Farrer, Paul O'Kelly, Mathilde Bourbin, Lizzie Winkler, David Dencik, Eliot Sumner, Lashana Lynch, Rami Malek, Lisa-Dorah Sonnet, Hayden Phillips, Amy Morgan, Michael G. Wilson, Léa Seydoux, Gemmar Mcfarlane, Christoph Waltz",Cary Joji Fukunaga,524153024.0,2021,209.661,914129032.0295204,295202952.0295203,9
379686,Space Jam: A New Legacy,6.7,4048.0,2021-07-08,163692228.0,150000000.0,3.545,"Family, Animation, Comedy, Science Fiction, Adventure","Don Cheadle, Xosha Roquemore, Candi Milo, Khris Davis, Jalyn Hall, Sue Bird, Jeff Bergman, Ernie Johnson, Fred Tatasciore, Skyler Bible, Cedric Joe, Gerald 'Slink' Johnson, Steven Yeun, LeBron James, Sarah Silverman, Stephen Kankole, Zendaya, Bob Bergen, Sonequa Martin-Green, Damian Lillard, Ceyair J Wright, A’ja Wilson, Rosario Dawson, Lil Rel Howery, Justin Roiland, Randy Mims, Gabriel Iglesias, Wood Harris, Harper Leigh Alexander, Kimberly Brooks, Nneka Ogwumike, Klay Thompson, Draymond Green, Eric Bauza, Diana Taurasi, Jordan Thomas, Michael B. Jordan, Anthony Davis",Malcolm D. Lee,13692228.0,2021,9.128,193289715.7195572,177121771.21771216,7
385103,Scoob!,7.0,1721.0,2020-07-08,28600000.0,90000000.0,12.77,"Animation, Comedy, Family, Mystery","Ken Jeong, Henry Kaufman, Kennedy Peil, Justina Machado, Billy West, Henry Winkler, Kevin Heffernan, Mckenna Grace, Gina Rodriguez, Iain Armitage, Alex Kauffman, Don Messick, Simon Cowell, Tony Cervone, Vanara Taing, Ariana Greenblatt, Frank Welker, Maya Erskine, Christina Hendricks, Eric Cowell, Adam Sztykiel, Will Forte, Ira Glass, John DiMaggio, Zac Efron, Harry Perry, Pam Coats, Fred Tatasciore, Sarah Lancia, John McDaniel, Mark Wahlberg, Michael Kurinsky, Pierce Gagnon, Tracy Morgan, Jason Isaacs, Amanda Seyfried, Maven Morgan, Kiersey Clemons, Ryan Folsey",Tony Cervone,-61400000.0,2020,-68.222,35363214.83771252,111282843.89489952,7
385128,F9,7.1,7298.0,2021-05-19,726229501.0,200000000.0,1.783,"Action, Adventure, Crime","Cered, Charlize Theron, Siena Agudong, Immanuel Holtane, Jason Statham, Martyn Ford, Michelle Rodriguez, Shea Whigham, Nathalie Emmanuel, Ozuna, Cardi B, Ludacris, Robert Bastens, Thue Ersted Rasmussen, Zhang Juju, Don Omar, Jason Tobin, Bill Simmons, Sung Kang, Anna Sawai, Michael Rooker, Oqwe Lin, Lucas Black, Vinnie Bennett, Vin Diesel, Igby Rigney, Luka Hays, Isaac Holtane, Sophia Tatum, J. D. Pardo, Tyrese Gibson, Jordana Brewster, Jim Parrack, John Cena, Finn Cole, Francis Ngannou, Vincent Sinclair Diesel, Shad Moss, Helen Mirren, Azia Dinea Hale, Karson Kern, Bad Bunny, Jimmy Lin, Kurt Russell",Justin Lin,526229501.0,2021,263.115,857540370.1845019,236162361.62361625,5
399566,Godzilla vs. Kong,7.6,10095.0,2021-03-24,470116094.0,200000000.0,38.196,"Action, Science Fiction, Adventure","Conlan Casal, Sonny Le, Demián Bichir, Rebecca Hall, Kaylee Hottle, Drew Walton, Lance Reddick, Grisel Toledo, Benjamin Rigby, Jon Quested, Tasneem Roc, Kei Kudo, Julian Dennison, Garreth Hadfield, Tara Wraith, Santi Lawson, Priscilla Doueihy, Bradd Buckley, Hakeem Kae-Kazim, Sofia Nolan, Sen Shao, Jason Szabo, Daniel Tuiara, Brad McMurray, Brian Tyree Henry, Kofi Yiadom, Joel Pierce, Daniel Nelson, Jason Virgil, Charles Sans, Alexander Skarsgård, Sam Arnold, Millie Bobby Brown, Eiza González, Nick Turello, Shun Oguri, Jim Palmer, Chris Chalk, Ronny Chieng, Shawn McBride, Kyle Chandler, John Walton, Jason Speer, John Pirruccello, Scott M. Schewe, David Castillo, Victoria Liu",Adam Wingard,270116094.0,2021,135.058,555118634.9815499,236162361.62361625,3
400160,The SpongeBob Movie: Sponge on the Run,7.5,2867.0,2020-08-14,4700000.0,60000000.0,11.687,"Family, Animation, Fantasy, Adventure, Comedy","Rodger Bumpass, Awkwafina, Antonio Raul Garcia, Keanu Reeves, Dee Bradley Baker, Bill Fagerbakke, Reggie Watts, Carolyn Lawrence, Snoop Dogg, Mr. Lawrence, Presley Williams, Jill Talley, Clancy Brown, Mary Jo Catlett, Jason Maybaum, Danny Trejo, Tiffany Haddish, Jack Gore, Tom Kenny, Matt Berry",Tim Hill,-55300000.0,2020,-92.167,5811437.403400309,74188562.59659968,8
